# GROMOS-RS GaMD Boost Potential
# GaMD Boost Potential Trajectory
#
# This file contains the boost potential ΔV at each MD step
# for reweighting analysis to recover unbiased free energies.
#
# Columns:
# Step  : MD step number
# Time  : Simulation time (ps)
# ΔV    : Total boost potential (kJ/mol)
# ΔV_dih: Dihedral boost potential (kJ/mol)
# ΔV_tot: Total potential boost (kJ/mol)
#
#     Step         Time           ΔV       ΔV_dih       ΔV_tot
         0     0.000000     0.000000     0.000000     0.000000
         1     0.002000     0.000000     0.000000     0.000000
         2     0.004000     0.000000     0.000000     0.000000
         3     0.006000     0.000000     0.000000     0.000000
         4     0.008000     0.000000     0.000000     0.000000
         5     0.010000     0.000000     0.000000     0.000000
         6     0.012000     0.000000     0.000000     0.000000
         7     0.014000     0.000000     0.000000     0.000000
         8     0.016000     0.000000     0.000000     0.000000
         9     0.018000     0.000000     0.000000     0.000000
        10     0.020000     0.000000     0.000000     0.000000
        11     0.022000     0.000000     0.000000     0.000000
        12     0.024000     0.000000     0.000000     0.000000
        13     0.026000     0.000000     0.000000     0.000000
        14     0.028000     0.000000     0.000000     0.000000
        15     0.030000     0.000000     0.000000     0.000000
        16     0.032000     0.000000     0.000000     0.000000
        17     0.034000     0.000000     0.000000     0.000000
        18     0.036000     0.000000     0.000000     0.000000
        19     0.038000     0.000000     0.000000     0.000000
        20     0.040000     0.000000     0.000000     0.000000
        21     0.042000     0.000000     0.000000     0.000000
        22     0.044000     0.000000     0.000000     0.000000
        23     0.046000     0.000000     0.000000     0.000000
        24     0.048000     0.000000     0.000000     0.000000
        25     0.050000     0.000000     0.000000     0.000000
        26     0.052000     0.000000     0.000000     0.000000
        27     0.054000     0.000000     0.000000     0.000000
        28     0.056000     0.000000     0.000000     0.000000
        29     0.058000     0.000000     0.000000     0.000000
        30     0.060000     0.000000     0.000000     0.000000
        31     0.062000     0.000000     0.000000     0.000000
        32     0.064000     0.000000     0.000000     0.000000
        33     0.066000     0.000000     0.000000     0.000000
        34     0.068000     0.000000     0.000000     0.000000
        35     0.070000     0.000000     0.000000     0.000000
        36     0.072000     0.000000     0.000000     0.000000
        37     0.074000     0.000000     0.000000     0.000000
        38     0.076000     0.000000     0.000000     0.000000
        39     0.078000     0.000000     0.000000     0.000000
        40     0.080000     0.000000     0.000000     0.000000
        41     0.082000     0.000000     0.000000     0.000000
        42     0.084000     0.000000     0.000000     0.000000
        43     0.086000     0.000000     0.000000     0.000000
        44     0.088000     0.000000     0.000000     0.000000
        45     0.090000     0.000000     0.000000     0.000000
        46     0.092000     0.000000     0.000000     0.000000
        47     0.094000     0.000000     0.000000     0.000000
        48     0.096000     0.000000     0.000000     0.000000
        49     0.098000     0.000000     0.000000     0.000000
        50     0.100000     0.000000     0.000000     0.000000
        51     0.102000     0.000000     0.000000     0.000000
        52     0.104000     0.000000     0.000000     0.000000
        53     0.106000     0.000000     0.000000     0.000000
        54     0.108000     0.000000     0.000000     0.000000
        55     0.110000     0.000000     0.000000     0.000000
        56     0.112000     0.000000     0.000000     0.000000
        57     0.114000     0.000000     0.000000     0.000000
        58     0.116000     0.000000     0.000000     0.000000
        59     0.118000     0.000000     0.000000     0.000000
        60     0.120000     0.000000     0.000000     0.000000
        61     0.122000     0.000000     0.000000     0.000000
        62     0.124000     0.000000     0.000000     0.000000
        63     0.126000     0.000000     0.000000     0.000000
        64     0.128000     0.000000     0.000000     0.000000
        65     0.130000     0.000000     0.000000     0.000000
        66     0.132000     0.000000     0.000000     0.000000
        67     0.134000     0.000000     0.000000     0.000000
        68     0.136000     0.000000     0.000000     0.000000
        69     0.138000     0.000000     0.000000     0.000000
        70     0.140000     0.000000     0.000000     0.000000
        71     0.142000     0.000000     0.000000     0.000000
        72     0.144000     0.000000     0.000000     0.000000
        73     0.146000     0.000000     0.000000     0.000000
        74     0.148000     0.000000     0.000000     0.000000
        75     0.150000     0.000000     0.000000     0.000000
        76     0.152000     0.000000     0.000000     0.000000
        77     0.154000     0.000000     0.000000     0.000000
        78     0.156000     0.000000     0.000000     0.000000
        79     0.158000     0.000000     0.000000     0.000000
        80     0.160000     0.000000     0.000000     0.000000
        81     0.162000     0.000000     0.000000     0.000000
        82     0.164000     0.000000     0.000000     0.000000
        83     0.166000     0.000000     0.000000     0.000000
        84     0.168000     0.000000     0.000000     0.000000
        85     0.170000     0.000000     0.000000     0.000000
        86     0.172000     0.000000     0.000000     0.000000
        87     0.174000     0.000000     0.000000     0.000000
        88     0.176000     0.000000     0.000000     0.000000
        89     0.178000     0.000000     0.000000     0.000000
        90     0.180000     0.000000     0.000000     0.000000
        91     0.182000     0.000000     0.000000     0.000000
        92     0.184000     0.000000     0.000000     0.000000
        93     0.186000     0.000000     0.000000     0.000000
        94     0.188000     0.000000     0.000000     0.000000
        95     0.190000     0.000000     0.000000     0.000000
        96     0.192000     0.000000     0.000000     0.000000
        97     0.194000     0.000000     0.000000     0.000000
        98     0.196000     0.000000     0.000000     0.000000
        99     0.198000     0.000000     0.000000     0.000000
# END
